"Study","RR","CI_lower","CI_upper","Weight","Latitude","Allocation"
"Aronson (1948)",0.411,0.134,1.257,5.1,44,"random"
"Ferguson & Simes (1949)",0.205,0.086,0.486,6.4,55,"random"
"Rosenthal et al (1960)",0.26,0.073,0.919,4.4,42,"random"
"Hart & Sutherland (1977)",0.237,0.179,0.312,9.7,52,"random"
"Frimodt-Moller et al (1973)",0.804,0.516,1.254,8.9,13,"alternate"
"Stein & Aronson (1953)",0.456,0.387,0.536,10.1,44,"alternate"
"Vandiviere et al (1973)",0.198,0.078,0.499,6,19,"random"
"TPT Madras (1980)",1.012,0.895,1.145,10.2,13,"random"
"Coetzee & Berjak (1968)",0.625,0.393,0.996,8.7,27,"random"
"Rosenthal et al (1961)",0.254,0.149,0.431,8.4,42,"systematic"
"Comstock et al (1974)",0.712,0.573,0.886,9.9,18,"systematic"
"Comstock & Webster (1969)",1.562,0.374,6.529,3.8,33,"systematic"
"Comstock et al (1976)",0.983,0.582,1.659,8.4,33,"systematic"
