Variable,Normal,Overweight,Obese,Overall,p-value
n,1189,1593,2084,4866,
"Age (years), mean +/- SD",49.5 +/- 19.3,53.5 +/- 17.1,51.2 +/- 16.7,51.5 +/- 17.6,<0.001
"Female, n (%)",647 (54.4%),737 (46.3%),1142 (54.8%),2526 (51.9%),<0.001
"Race/ethnicity, n (%)",,,,,<0.001
  Non-Hispanic White,409 (34.4%),521 (32.7%),759 (36.4%),1689 (34.7%),
  Non-Hispanic Black,242 (20.4%),300 (18.8%),570 (27.4%),1112 (22.9%),
  Non-Hispanic Asian,304 (25.6%),267 (16.8%),114 (5.5%),685 (14.1%),
  Mexican American,93 (7.8%),240 (15.1%),333 (16.0%),666 (13.7%),
  Other Hispanic,81 (6.8%),199 (12.5%),188 (9.0%),468 (9.6%),
  Other/Multi-Racial,60 (5.0%),66 (4.1%),120 (5.8%),246 (5.1%),
"BMI (kg/m2), mean +/- SD",22.4 +/- 1.7,27.4 +/- 1.4,36.5 +/- 6.3,30.1 +/- 7.3,<0.001
"HbA1c (%), mean +/- SD",5.60 +/- 0.88,5.85 +/- 1.12,6.05 +/- 1.17,5.87 +/- 1.10,<0.001
"Diabetes (HbA1c >= 6.5%), n (%)",89 (7.5%),221 (13.9%),414 (19.9%),724 (14.9%),<0.001
"Glycemic status, n (%)",,,,,<0.001
  Normal,809 (68.0%),881 (55.3%),931 (44.7%),2621 (53.9%),
  Prediabetes,291 (24.5%),491 (30.8%),739 (35.5%),1521 (31.3%),
  Diabetes,89 (7.5%),221 (13.9%),414 (19.9%),724 (14.9%),
